Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-03-20,SHREECEM,EQ,17731.45,17385.0,19186.3,17026.75,18880.0,18903.65,18646.08,109691,204530736310000.0,24894,29003,0.2644
2020-03-23,SHREECEM,EQ,18903.65,17113.0,17579.95,16068.15,17100.0,16959.4,16759.89,64085,107405725565000.02,25585,30171,0.4708
2020-03-24,SHREECEM,EQ,16959.4,17400.0,18180.05,16380.45,17030.0,16980.0,17080.89,73476,125503574380000.0,26844,32257,0.439
2020-03-25,SHREECEM,EQ,16980.0,16800.0,17947.35,16551.45,16980.0,17438.25,17156.75,43063,73882097095000.0,19882,19323,0.4487
2020-03-26,SHREECEM,EQ,17438.25,17450.0,18050.0,17107.6,17599.65,17554.05,17557.94,68024,119436144825000.0,27006,34236,0.5033
2020-03-27,SHREECEM,EQ,17554.05,17800.0,18569.6,16836.05,17501.0,17666.25,17695.09,56733,100389576180000.0,25590,19827,0.34950000000000003
2020-03-30,SHREECEM,EQ,17666.25,17000.0,17600.0,16100.65,17000.0,16935.45,16875.26,61908,104471379780000.0,28451,33745,0.5451
2020-03-31,SHREECEM,EQ,16935.45,17274.15,17716.9,16917.0,17690.0,17546.35,17418.5,51027,88881387070000.0,21142,30294,0.5937
2020-04-01,SHREECEM,EQ,17546.35,17500.0,17546.3,16500.0,16523.0,16549.65,16722.76,48939,81839537680000.0,20274,25494,0.5209
2020-04-03,SHREECEM,EQ,16549.65,16661.2,16698.45,15410.0,15500.0,15783.8,15968.85,77720,124109868325000.0,31757,38016,0.4891
2020-04-07,SHREECEM,EQ,15783.8,16090.0,16850.0,15882.15,16351.15,16634.55,16308.78,92287,150508872550000.0,33715,51041,0.5531
2020-04-08,SHREECEM,EQ,16634.55,16351.15,17031.0,15918.8,16000.0,16063.95,16358.42,122755,200807734290000.0,48672,60295,0.49119999999999997
2020-04-09,SHREECEM,EQ,16063.95,16208.0,17010.0,16135.0,16959.55,16935.3,16547.63,92986,153869796150000.0,28940,56879,0.6117
2020-04-13,SHREECEM,EQ,16935.3,16900.0,17801.3,16222.3,17368.0,17301.1,17241.35,86675,149439382300000.0,27168,23282,0.2686
2020-04-15,SHREECEM,EQ,17301.1,17389.05,18547.2,17368.0,18076.1,18138.55,18140.0,125808,228215680000000.0,37949,50460,0.4011
2020-04-16,SHREECEM,EQ,18138.55,18050.2,19348.95,17551.25,18700.05,18928.9,18694.59,112627,210551550360000.0,30314,34946,0.3103
2020-04-17,SHREECEM,EQ,18928.9,19400.0,19731.7,18785.4,19030.0,18946.75,19152.44,74780,143221931185000.0,21802,20858,0.27890000000000004
2020-04-20,SHREECEM,EQ,18946.75,19025.0,19338.95,18931.35,19009.0,18996.9,19059.84,48069,91618764885000.0,13812,12615,0.26239999999999997
2020-04-21,SHREECEM,EQ,18996.9,18900.0,19000.0,18237.2,18828.45,18828.45,18722.34,43173,80829946005000.0,11113,15931,0.369
2020-04-22,SHREECEM,EQ,18828.45,18838.45,19620.0,18611.95,18898.0,19217.15,19007.88,70880,134727868575000.0,18657,25407,0.35850000000000004
2020-04-23,SHREECEM,EQ,19217.15,19050.0,19175.0,18601.05,18748.95,18707.75,18885.53,41913,79154930955000.0,13355,9555,0.228
2020-04-24,SHREECEM,EQ,18707.75,18739.0,18927.3,18382.55,18650.0,18587.45,18617.63,34410,64063260270000.01,10648,11348,0.3298
2020-04-27,SHREECEM,EQ,18587.45,18655.0,19200.0,18655.0,19080.0,19021.85,19022.18,37872,72040805195000.0,11992,10740,0.2836
2020-04-28,SHREECEM,EQ,19021.85,19080.0,19394.95,18800.05,18950.0,18865.9,19123.11,29420,56260184304999.99,8415,6374,0.21670000000000003
2020-04-29,SHREECEM,EQ,18865.9,18999.0,19250.0,18950.35,19217.0,19171.45,19084.12,25467,48601518325000.0,9257,7875,0.30920000000000003
2020-04-30,SHREECEM,EQ,19171.45,19300.0,19890.0,19118.45,19610.0,19767.9,19603.59,53649,105171286805000.0,13061,15874,0.2959
2020-05-04,SHREECEM,EQ,19767.9,19174.0,19304.65,18540.0,18590.0,18625.0,18827.35,35572,66972662675000.0,13289,13439,0.3778
2020-05-05,SHREECEM,EQ,18625.0,18675.5,18899.85,18250.0,18529.95,18512.0,18581.07,43081,80049118760000.0,13375,9360,0.21730000000000002
2020-05-06,SHREECEM,EQ,18512.0,18624.95,18930.0,18523.55,18845.0,18741.9,18762.98,31793,59653126800000.0,9242,4657,0.14650000000000002
2020-05-07,SHREECEM,EQ,18741.9,18741.9,18884.2,18041.95,18380.0,18432.4,18452.47,44718,82515752965000.0,12679,8599,0.1923
2020-05-08,SHREECEM,EQ,18432.4,18680.0,18879.45,18450.1,18665.0,18732.75,18684.29,37689,70419225595000.0,10850,7169,0.1902
2020-05-11,SHREECEM,EQ,18732.75,19099.0,19299.0,18812.75,18945.0,18914.9,19052.09,86212,164251880625000.0,21412,14909,0.1729
2020-05-12,SHREECEM,EQ,18914.9,18845.25,19232.0,18416.5,19130.0,19127.2,18824.26,45808,86230184290000.0,12101,8458,0.18460000000000001
2020-05-13,SHREECEM,EQ,19127.2,19534.95,20309.95,19442.45,19800.0,19763.25,19935.15,97463,194293985715000.0,26315,18276,0.1875
2020-05-14,SHREECEM,EQ,19763.25,19700.0,19928.85,19165.1,19355.0,19310.8,19408.39,76779,149015657445000.0,16153,30200,0.3933
2020-05-15,SHREECEM,EQ,19310.8,19509.9,19563.55,18811.5,19059.7,19180.5,19073.26,52718,100550411285000.0,16395,11514,0.2184
2020-05-18,SHREECEM,EQ,19180.5,19200.0,19239.45,18000.0,18115.0,18152.7,18655.69,66740,124508091545000.0,20829,20701,0.3102
2020-05-19,SHREECEM,EQ,18152.7,18300.0,18820.0,18075.0,18400.0,18340.75,18465.4,68436,126369778034999.98,21340,9811,0.1434
2020-05-20,SHREECEM,EQ,18340.75,18351.05,20150.45,18351.05,19484.95,19411.65,18972.3,95883,181912077430000.0,25748,27857,0.29050000000000004
2020-05-21,SHREECEM,EQ,19411.65,19156.0,19349.6,18750.0,19180.0,19251.15,19077.0,83404,159109816905000.0,24447,18271,0.21910000000000002
2020-05-22,SHREECEM,EQ,19251.15,19019.0,20079.95,18803.2,19850.0,19910.25,19500.6,97537,190202992130000.0,25921,26449,0.2712
2020-05-26,SHREECEM,EQ,19910.25,19810.1,20759.95,19700.0,20540.0,20667.3,20371.54,115383,235052980090000.0,29084,30730,0.2663
2020-05-27,SHREECEM,EQ,20667.3,20702.75,20900.0,20300.0,20535.0,20477.55,20511.48,81015,166173751550000.0,23165,21903,0.2704
2020-05-28,SHREECEM,EQ,20477.55,20649.0,21163.35,20260.8,20900.0,20808.9,20627.91,77640,160155105545000.0,21963,20489,0.2639
2020-05-29,SHREECEM,EQ,20808.9,20850.0,21049.0,20608.9,20800.0,20857.3,20873.85,76672,160043985470000.0,22038,30397,0.3965
2020-06-01,SHREECEM,EQ,20857.3,20857.3,21464.7,20855.5,21025.0,21069.35,21089.07,74696,157526911385000.0,20255,19866,0.266
2020-06-02,SHREECEM,EQ,21069.35,21180.0,21340.0,20952.65,21241.5,21201.0,21164.81,42170,89252006945000.0,13248,10549,0.2502
2020-06-03,SHREECEM,EQ,21201.0,21544.0,21740.0,21251.0,21670.95,21630.1,21569.31,49111,105929062645000.0,15732,14814,0.30160000000000003
2020-06-04,SHREECEM,EQ,21630.1,21611.0,21869.5,21067.4,21385.0,21396.65,21405.55,43072,92197989690000.0,15349,9724,0.2258
2020-06-05,SHREECEM,EQ,21396.65,21500.0,22430.0,21500.0,22000.0,22089.6,21917.03,55227,121041184909999.98,14167,10038,0.1818
2020-06-08,SHREECEM,EQ,22089.6,22117.75,22296.5,21000.0,21228.0,21180.9,21591.85,73283,158231574660000.0,22153,21892,0.2987
2020-06-09,SHREECEM,EQ,21180.9,21535.95,21585.0,20908.8,21098.95,21009.8,21254.93,64086,136214335815000.02,18303,17048,0.266
2020-06-10,SHREECEM,EQ,21009.8,21171.05,21611.05,21149.85,21598.0,21513.3,21444.29,49867,106936229645000.0,15034,10201,0.2046
2020-06-11,SHREECEM,EQ,21513.3,21648.0,21648.0,21204.5,21277.65,21251.2,21399.97,49993,106984866180000.0,16011,16825,0.33649999999999997
2020-06-12,SHREECEM,EQ,21251.2,20700.0,23137.25,20700.0,22489.0,22392.65,21857.22,147218,321777656025000.0,28551,52413,0.35600000000000004
2020-06-15,SHREECEM,EQ,22392.65,22260.0,22361.05,21750.0,22082.25,22117.25,22051.63,99776,220022384065000.0,25423,25539,0.256
2020-06-16,SHREECEM,EQ,22117.25,22291.7,22539.95,21800.0,21977.4,22111.3,22184.48,70321,156003470075000.0,20150,25722,0.3658
2020-06-17,SHREECEM,EQ,22111.3,21978.0,22079.5,21514.3,21690.0,21635.4,21744.6,70852,154064824355000.0,18545,18932,0.2672
2020-06-18,SHREECEM,EQ,21635.4,21718.0,21998.95,21410.0,21850.0,21866.1,21695.72,83639,181460862370000.0,16319,29747,0.3557
2020-06-19,SHREECEM,EQ,21866.1,21840.0,21930.0,21566.45,21650.0,21678.95,21738.93,64310,139803072409999.98,14660,24040,0.3738
2020-06-22,SHREECEM,EQ,21678.95,21710.0,22199.95,21530.05,22100.0,22017.6,21856.06,97692,213516207555000.0,19308,39127,0.40049999999999997
2020-06-23,SHREECEM,EQ,22017.6,22100.0,22943.1,22050.0,22801.0,22756.25,22446.79,56193,126135240795000.0,15384,5363,0.4117
2020-06-24,SHREECEM,EQ,22756.25,22750.0,23068.0,22330.0,22476.9,22566.25,22680.36,67022,152008295180000.0,16609,12067,0.18
2020-06-25,SHREECEM,EQ,22566.25,22495.0,22619.1,21889.0,22148.0,22068.8,22306.44,47016,104875941865000.0,13732,11822,0.2514
2020-06-26,SHREECEM,EQ,22068.8,22111.0,22700.0,21863.4,22674.45,22523.85,22213.19,56262,124975875045000.0,15363,12281,0.2183
2020-06-29,SHREECEM,EQ,22523.85,22450.0,22483.85,21927.6,22353.85,22341.95,22189.5,49397,109609497595000.0,13298,10793,0.21850000000000003
2020-06-30,SHREECEM,EQ,22341.95,22353.85,23330.0,22341.95,23040.0,23051.05,22991.16,102429,235496159340000.0,27662,16501,0.1611
2020-07-01,SHREECEM,EQ,23051.05,22814.35,23215.0,22516.8,22599.0,22663.5,22827.82,71638,163533951070000.0,18543,14495,0.2023
2020-07-02,SHREECEM,EQ,22663.5,22850.0,22950.0,22511.0,22806.0,22762.85,22727.13,42084,95644833890000.0,11326,8648,0.20550000000000002
2020-07-03,SHREECEM,EQ,22762.85,22985.0,22987.55,22737.55,22782.9,22872.65,22857.11,31513,72029609450000.0,9707,5262,0.167
2020-07-06,SHREECEM,EQ,22872.65,22879.0,23215.0,22850.75,23051.65,23111.15,22998.8,84877,195206912375000.0,12527,39075,0.4604
2020-07-07,SHREECEM,EQ,23111.15,23072.5,23087.65,22656.0,22850.0,22824.1,22823.91,41646,95052472315000.0,15470,11244,0.27
2020-07-08,SHREECEM,EQ,22824.1,22900.0,23050.0,22345.95,22452.0,22439.8,22579.86,57101,128933281734999.98,18520,22850,0.40020000000000006
2020-07-09,SHREECEM,EQ,22439.8,22622.0,22915.0,22380.2,22810.0,22803.6,22649.39,48256,109296910734999.98,15280,14871,0.30820000000000003
2020-07-10,SHREECEM,EQ,22803.6,22799.0,22799.0,22182.2,22400.0,22295.4,22401.05,44546,99787730160000.0,14831,11828,0.2655
2020-07-13,SHREECEM,EQ,22295.4,22460.0,22627.85,22250.0,22300.0,22311.2,22393.3,52262,117031877715000.02,14024,19927,0.38130000000000003
2020-07-14,SHREECEM,EQ,22311.2,22388.0,22394.8,21710.45,22000.0,22085.75,22019.68,61251,134872741184999.98,16431,18907,0.30870000000000003
2020-07-15,SHREECEM,EQ,22085.75,22101.0,22274.0,21750.0,21800.0,21843.25,21905.89,48201,105588563955000.0,13459,17469,0.3624
2020-07-16,SHREECEM,EQ,21843.25,22031.9,22031.9,21250.0,21670.0,21731.1,21626.32,42359,91606943680000.0,13447,9467,0.22350000000000003
2020-07-17,SHREECEM,EQ,21731.1,21731.1,22400.0,21606.0,22311.45,22269.95,22093.98,38076,84125027245000.0,11921,11995,0.315
2020-07-20,SHREECEM,EQ,22269.95,22325.05,22399.9,22007.3,22236.05,22266.1,22232.56,38325,85206272510000.0,13676,8147,0.2126
2020-07-21,SHREECEM,EQ,22266.1,22495.0,22810.0,22260.15,22387.0,22440.75,22535.6,73617,165900325600000.0,19325,24348,0.3307
2020-07-22,SHREECEM,EQ,22440.75,22500.0,22534.9,21919.3,22012.0,21979.45,22135.49,44686,98914648660000.0,11766,10390,0.2325
2020-07-23,SHREECEM,EQ,21979.45,22023.0,22129.45,21501.0,21560.0,21568.15,21689.15,69558,150865398010000.0,14878,28868,0.41500000000000004
2020-07-24,SHREECEM,EQ,21568.15,21547.1,21600.0,21160.0,21280.0,21332.75,21340.6,58309,124434905559999.98,14834,21602,0.3705
2020-07-27,SHREECEM,EQ,21332.75,21449.95,21590.0,21015.95,21100.0,21113.85,21330.42,61733,131679082305000.0,14726,22373,0.3624
2020-07-28,SHREECEM,EQ,21113.85,21147.0,22020.0,21110.0,21905.0,21915.75,21606.78,96902,209374005760000.0,22210,34696,0.35810000000000003
2020-07-29,SHREECEM,EQ,21915.75,21696.6,22200.0,21624.0,21710.0,21743.65,21942.08,65355,143402436345000.0,16643,17987,0.2752
2020-07-30,SHREECEM,EQ,21743.65,21845.0,22025.0,21300.0,21380.0,21395.1,21621.78,51699,111782434684999.98,15095,17238,0.33340000000000003
2020-07-31,SHREECEM,EQ,21395.1,21395.5,21890.0,21350.0,21670.0,21711.15,21681.62,50697,109919320480000.0,15056,10846,0.2139
2020-08-03,SHREECEM,EQ,21711.15,21670.05,21864.05,21490.0,21745.0,21747.25,21704.74,29527,64087573915000.0,11135,6514,0.2206
2020-08-04,SHREECEM,EQ,21747.25,21700.0,21940.95,21325.9,21600.0,21593.75,21570.26,52275,112758543715000.02,15263,15415,0.2949
2020-08-05,SHREECEM,EQ,21593.75,21793.35,22150.0,21451.1,22105.0,22103.9,21832.9,84442,184361405555000.0,16544,22347,0.2646
2020-08-06,SHREECEM,EQ,22103.9,22120.0,22165.0,21530.0,21849.85,21722.85,21950.28,56603,124245182405000.0,14287,17270,0.30510000000000004
2020-08-07,SHREECEM,EQ,21722.85,21900.0,22074.15,21621.3,21849.5,21910.1,21891.77,41439,90717289215000.0,9744,10897,0.263
2020-08-10,SHREECEM,EQ,21910.1,22200.0,22550.0,21939.55,22330.0,22396.4,22354.07,125348,280203780440000.0,20955,35969,0.287
2020-08-11,SHREECEM,EQ,22396.4,21920.0,21989.95,21322.0,21530.0,21551.6,21488.02,188583,405227445605000.0,38392,61340,0.32530000000000003
2020-08-12,SHREECEM,EQ,21551.6,21566.0,21634.7,21270.0,21425.0,21378.9,21437.39,72534,155493960320000.0,18702,16325,0.22510000000000002
2020-08-13,SHREECEM,EQ,21378.9,21569.0,21644.45,21103.3,21294.0,21237.0,21305.58,66877,142485301575000.0,14448,21556,0.3223
2020-08-14,SHREECEM,EQ,21237.0,21395.0,21700.0,21201.55,21470.9,21458.25,21477.55,78902,169462201075000.0,22615,20379,0.2583
2020-08-17,SHREECEM,EQ,21458.25,21600.0,21649.9,21401.0,21530.0,21512.75,21524.97,34712,74717477320000.0,10725,8923,0.2571
2020-08-18,SHREECEM,EQ,21512.75,21512.75,21950.0,21512.75,21900.0,21914.3,21791.52,76377,166437080370000.0,20012,28325,0.37090000000000006
2020-08-19,SHREECEM,EQ,21914.3,22148.0,22173.3,21850.05,22080.0,22081.3,22056.59,47993,105856213850000.0,15032,19039,0.39670000000000005
2020-08-20,SHREECEM,EQ,22081.3,21974.0,22236.45,21788.2,22044.75,22080.2,22025.22,37684,82999830575000.0,11546,5150,0.13670000000000002
2020-08-21,SHREECEM,EQ,22080.2,22160.0,22467.8,22100.3,22360.0,22317.75,22303.62,34260,76412213620000.0,10970,9924,0.2897
2020-08-24,SHREECEM,EQ,22317.75,22317.75,22543.0,22156.0,22212.0,22210.75,22344.24,37880,84639997605000.0,13732,9292,0.24530000000000002
2020-08-25,SHREECEM,EQ,22210.75,22260.2,22461.75,21650.0,21950.0,21810.75,21822.75,64964,141769321525000.0,18480,17771,0.2736
2020-08-26,SHREECEM,EQ,21810.75,21950.0,21999.0,21600.05,21650.0,21710.65,21754.37,38074,82827576980000.0,13026,9329,0.245
2020-08-27,SHREECEM,EQ,21710.65,21710.65,21753.3,21460.0,21599.9,21528.0,21533.46,40826,87912488655000.0,10873,12850,0.3148
2020-08-28,SHREECEM,EQ,21528.0,21645.0,21800.0,21251.5,21350.0,21329.55,21441.68,52820,113254930550000.0,14668,18088,0.34240000000000004
2020-08-31,SHREECEM,EQ,21329.55,21478.9,21550.0,20010.0,20180.0,20283.0,20602.04,114636,236173528940000.0,28768,41559,0.3625
2020-09-01,SHREECEM,EQ,20283.0,20449.0,20599.95,19975.0,20440.0,20466.6,20292.38,74780,151746424100000.0,17866,15260,0.2041
2020-09-02,SHREECEM,EQ,20466.6,20599.0,20748.4,20450.0,20540.0,20563.6,20594.62,49617,102184325745000.0,15243,14915,0.3006
2020-09-03,SHREECEM,EQ,20563.6,20540.0,20849.0,20250.7,20445.0,20429.0,20371.03,50370,102608894615000.0,13783,13378,0.2656
2020-09-04,SHREECEM,EQ,20429.0,20300.0,20500.0,19950.0,19952.75,20025.3,20170.0,64482,130060180484999.98,18178,18099,0.2807
2020-09-07,SHREECEM,EQ,20025.3,20100.0,20119.15,19636.05,19760.0,19782.95,19792.43,59729,118218198640000.02,16185,16225,0.2716
2020-09-08,SHREECEM,EQ,19782.95,19782.95,20199.0,19272.1,19350.0,19355.85,19538.34,65858,128675590550000.0,18205,22665,0.34409999999999996
2020-09-09,SHREECEM,EQ,19355.85,19300.0,19566.0,19068.05,19448.0,19401.5,19304.96,83567,161325780455000.0,21677,28382,0.3396
2020-09-10,SHREECEM,EQ,19401.5,19500.0,19750.0,19319.0,19735.5,19643.35,19512.12,44713,87244525435000.0,12038,7870,0.17600000000000002
2020-09-11,SHREECEM,EQ,19643.35,19735.5,19735.5,19365.1,19500.0,19502.5,19452.33,61264,119172751230000.0,11415,27254,0.4449
2020-09-14,SHREECEM,EQ,19502.5,19512.3,19985.0,19500.0,19680.0,19789.5,19751.73,60868,120224811220000.0,16661,17521,0.2879
2020-09-15,SHREECEM,EQ,19789.5,19779.0,20147.9,19600.0,20070.0,20065.25,19947.59,71895,143413211490000.0,16117,17401,0.242
2020-09-16,SHREECEM,EQ,20065.25,20065.25,20492.55,19946.15,20300.0,20387.85,20270.72,51069,103520521300000.0,11631,12036,0.23570000000000002
2020-09-17,SHREECEM,EQ,20387.85,20375.0,20375.0,19795.95,19910.0,19888.4,20005.88,65445,130928499880000.0,16626,17652,0.2697
2020-09-18,SHREECEM,EQ,19888.4,19915.0,20108.55,19399.5,19490.75,19520.95,19682.72,82189,161770306465000.0,20677,31942,0.3886
2020-09-21,SHREECEM,EQ,19520.95,19520.95,19600.0,18707.65,18778.9,18903.7,19174.39,35929,68891670000000.0,10150,5985,0.1666
2020-09-22,SHREECEM,EQ,18903.7,19075.0,19187.2,18424.0,18840.0,18982.45,18849.83,71503,134781960009999.98,18326,12087,0.16899999999999998
2020-09-23,SHREECEM,EQ,18982.45,18985.5,19115.3,18536.8,18931.0,18951.85,18845.04,45567,85871209935000.0,9591,9499,0.20850000000000002
2020-09-24,SHREECEM,EQ,18951.85,18800.0,18846.9,18183.55,18340.0,18341.95,18496.99,64618,119523849705000.0,14995,21346,0.33030000000000004
2020-09-25,SHREECEM,EQ,18341.95,18391.5,19150.0,18364.55,18902.0,19008.45,18791.43,55983,105200074550000.0,13365,9848,0.1759
2020-09-28,SHREECEM,EQ,19008.45,19200.0,19655.0,19080.0,19640.0,19533.15,19371.2,40663,78769121895000.0,9918,11399,0.2803
2020-09-29,SHREECEM,EQ,19533.15,19599.0,19970.0,19351.4,19795.0,19834.65,19722.83,90411,178316066915000.0,19055,17011,0.1882
2020-09-30,SHREECEM,EQ,19834.65,19860.0,20535.0,19661.85,20184.95,20256.95,20227.76,121119,244996647444999.97,26009,31742,0.2621
2020-10-01,SHREECEM,EQ,20256.95,20400.0,20659.95,20325.0,20600.0,20611.0,20517.33,71915,147550394280000.0,12734,15992,0.2224
2020-10-05,SHREECEM,EQ,20611.0,20600.0,20719.05,20000.0,20045.0,20131.8,20279.37,63076,127914142965000.02,15451,10606,0.1681
2020-10-06,SHREECEM,EQ,20131.8,20155.0,20446.45,20001.0,20325.0,20296.95,20239.16,58671,118745156995000.0,13789,10972,0.187
2020-10-07,SHREECEM,EQ,20296.95,20325.0,20800.0,20097.95,20705.0,20712.5,20560.63,78989,162406372135000.0,19850,15165,0.192
2020-10-08,SHREECEM,EQ,20712.5,20721.2,20850.0,20490.0,20750.0,20735.55,20659.72,63460,131106571120000.0,19446,15228,0.24
2020-10-09,SHREECEM,EQ,20735.55,20800.0,21250.0,20686.5,21192.0,21198.5,21080.93,90353,190472536700000.0,19905,24094,0.26670000000000005
2020-10-12,SHREECEM,EQ,21198.5,21165.0,21397.95,20845.05,20950.0,20956.1,21038.93,56254,118352393930000.0,13672,7623,0.1355
